"Item_5","Item_6","Item_7","Item_8","Item_17","Item_18","Item_19","Item_20","Item_29","Item_30","Item_31","Item_32","Item_9","Item_10","Item_11","Item_12","Item_21","Item_22","Item_23","Item_24","Item_33","Item_34","Item_35","Item_36","Item_13","Item_14","Item_15","Item_16","Item_25","Item_26","Item_27","Item_28","Item_1","Item_2","Item_3","Item_4"
2,4,5,3,4,4,5,5,5,4,5,4,5,4,2,2,5,5,6,4,5,6,5,5,3,5,2,4,4,3,3,4,2,2,5,2
4,1,4,1,5,1,1,1,5,4,5,5,2,2,3,2,5,5,5,3,5,4,4,3,3,1,1,2,2,2,2,4,3,1,1,2
2,2,4,5,5,4,4,4,5,4,5,5,5,2,2,4,3,3,5,3,5,4,5,4,4,3,2,3,5,5,5,4,5,2,5,2
2,1,4,2,3,2,2,5,4,5,2,2,3,2,5,2,3,2,5,4,4,4,5,5,4,5,4,4,2,2,2,2,3,1,2,1
1,1,4,1,4,1,2,2,4,2,5,3,2,2,5,2,5,4,5,3,5,5,2,4,2,1,2,3,1,2,1,3,2,1,2,1
1,1,5,1,1,1,6,3,1,6,4,1,2,2,6,2,6,6,6,5,4,6,4,4,3,1,1,4,1,2,2,1,2,5,1,6
3,NA,NA,5,4,4,3,3,5,1,4,5,4,NA,NA,3,NA,5,5,1,5,3,5,6,5,4,5,4,1,4,6,5,4,5,4,5
2,3,5,4,5,5,6,3,6,6,6,6,5,5,3,3,5,5,6,5,6,5,5,5,3,3,2,3,5,5,5,5,2,5,5,5
5,3,4,5,6,5,6,3,6,6,6,6,5,6,2,3,5,5,6,5,6,6,6,6,3,5,3,4,6,6,6,6,4,4,5,3
3,2,5,4,5,5,4,3,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,3,5,4,3,3,3,4,4,3,5,3
3,3,4,3,3,3,3,2,5,3,5,4,5,4,5,4,4,4,5,4,5,5,4,5,5,3,2,5,4,2,3,5,5,5,4,5
2,3,5,1,5,1,6,1,5,2,2,2,5,6,5,2,5,4,5,2,2,5,5,3,4,2,3,3,3,1,1,1,3,5,3,4
5,2,5,5,5,5,5,5,6,6,6,6,6,2,6,3,5,5,6,5,6,6,6,6,2,3,5,5,6,6,6,6,NA,2,5,2
3,1,4,3,4,2,4,5,6,4,5,6,4,2,4,2,5,4,5,5,5,4,5,5,1,6,3,6,3,6,4,5,2,3,5,3
4,2,5,3,5,4,6,1,5,2,6,5,4,3,5,3,5,5,6,4,6,6,5,4,5,3,4,2,2,2,3,2,5,2,5,2
3,2,5,4,5,4,5,4,5,6,4,5,6,5,5,5,6,5,6,5,5,6,5,5,5,3,5,5,4,3,4,4,4,6,5,6
1,1,5,1,5,1,5,NA,4,3,1,1,5,5,6,4,5,5,6,5,5,6,5,5,5,2,1,3,4,1,2,3,5,2,3,4
1,1,4,3,3,2,4,3,1,4,6,4,3,4,2,1,3,5,4,4,6,6,2,5,1,3,4,2,2,1,1,2,1,2,2,2
2,2,6,2,3,2,2,1,3,3,4,2,4,3,6,5,2,4,6,4,5,4,5,5,5,2,5,2,5,4,1,1,5,2,2,2
5,3,6,5,5,6,6,5,6,NA,6,6,5,4,3,2,5,6,6,4,6,6,6,6,4,5,5,4,6,6,6,6,4,4,5,4
3,4,5,4,5,5,4,5,4,1,5,4,4,3,5,5,4,4,5,5,5,4,5,2,6,3,2,5,5,3,3,4,5,2,5,2
3,4,5,4,5,5,5,4,5,5,5,5,5,3,4,3,5,4,6,4,5,6,5,5,5,5,2,5,5,6,4,5,3,5,5,4
2,3,4,3,5,3,5,5,5,4,5,5,4,3,5,2,6,5,5,5,5,4,5,5,4,5,4,5,5,6,5,4,2,2,4,2
3,2,4,5,4,5,5,2,5,3,6,6,4,3,4,2,6,5,6,6,5,5,6,5,5,3,2,4,5,5,4,5,2,2,6,2
2,2,5,3,4,3,5,1,4,4,6,4,6,6,6,5,6,5,6,6,6,6,5,2,6,1,4,5,3,3,3,5,6,6,6,6
1,3,6,5,5,4,5,5,5,5,5,5,6,4,5,4,5,5,6,5,6,6,5,6,5,4,2,5,4,6,3,6,5,4,6,2
4,3,6,3,5,5,6,3,1,5,6,5,6,6,5,3,1,6,6,5,6,6,1,4,5,3,4,5,1,1,1,1,2,2,2,2
3,3,4,2,4,4,3,5,5,6,5,6,2,3,5,4,3,6,5,3,5,5,5,5,3,5,4,3,4,4,5,5,4,3,4,2
2,2,4,3,5,4,4,4,3,5,5,4,5,4,5,2,5,5,6,5,4,4,4,5,4,3,2,4,5,4,5,4,4,1,5,2
6,3,6,6,6,6,6,6,6,6,6,6,6,2,5,2,6,6,6,3,6,6,6,6,6,5,5,4,6,6,6,6,5,2,6,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,NA,NA,NA,NA,4,1,3,1,2,4,3,4,6,5,4,5
1,3,3,1,3,3,3,3,4,2,4,4,6,5,3,1,4,4,4,3,4,4,4,2,4,4,3,3,4,3,2,3,2,6,5,6
5,5,6,5,6,5,5,6,6,5,5,5,4,2,6,6,5,6,5,6,5,5,6,6,5,6,3,5,6,6,6,4,6,1,5,2
5,5,6,5,6,5,6,3,6,3,6,6,6,6,5,2,5,5,6,3,6,5,5,5,5,3,6,3,6,5,5,5,2,6,6,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,6,3,6,3,5,3,5,4,6,6,2,5,6,6,3,6,4,1,6,6,6,4,4,1,6,3,1,4,3,4,6,6,6,6
2,2,2,2,4,2,4,2,3,2,2,5,4,2,5,5,5,5,6,5,5,4,4,4,5,5,3,4,1,1,1,2,5,2,4,2
3,1,5,4,4,5,5,3,5,4,5,5,5,4,5,5,NA,5,6,5,5,5,5,4,5,3,5,5,2,5,2,5,4,4,6,4
6,2,5,5,5,5,5,3,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,4
4,1,4,4,5,3,4,2,3,4,4,4,3,3,4,2,4,4,6,4,4,4,4,4,3,2,4,4,4,3,1,4,4,4,4,5
5,4,4,3,5,4,6,4,6,3,4,6,4,4,6,5,6,6,6,4,6,5,6,4,5,5,6,4,6,6,NA,6,3,5,5,5
3,4,3,5,6,6,4,4,6,6,6,6,3,4,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,1,6,6,3,5,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,3,5,5,6,5,5,6,4,6,5,6,2,5,6,6,6,6,6,6,6,6,6,5,4,3,5,6,6,6,6,6,2,5,1
6,3,6,5,6,6,4,4,5,6,6,3,4,1,2,1,6,6,6,4,6,6,5,5,3,4,6,5,6,4,3,5,3,6,4,6
2,3,6,2,4,2,5,1,4,4,5,3,4,1,6,1,4,4,5,5,5,6,5,5,1,3,1,2,4,3,3,6,1,1,5,1
2,2,4,3,4,3,4,1,5,2,5,3,4,4,5,4,4,5,5,4,6,5,4,5,4,2,3,4,4,3,3,3,3,5,3,5
2,2,5,3,4,2,3,3,4,NA,3,4,4,2,1,2,4,2,3,2,4,5,2,3,2,3,4,2,1,3,2,4,3,4,4,5
4,2,2,4,4,2,5,2,5,5,6,5,6,2,6,6,6,5,6,3,5,6,5,5,5,4,2,5,2,4,3,4,5,5,5,5
1,1,5,3,4,2,5,1,5,5,5,4,4,3,6,5,4,4,5,3,5,4,6,5,4,2,3,4,2,3,1,4,5,4,5,4
1,2,4,4,5,4,6,5,6,6,6,6,6,5,5,4,6,5,6,5,6,6,6,6,5,5,3,6,6,6,6,6,5,4,5,4
2,1,3,3,2,2,2,3,5,6,5,4,3,2,3,2,1,4,4,1,4,5,4,6,1,2,1,3,2,2,1,2,1,3,5,2
2,2,2,4,4,4,2,3,5,3,6,5,6,4,5,5,5,5,6,3,5,4,6,6,5,4,4,5,1,2,5,5,5,4,4,4
4,4,6,5,5,5,6,5,5,6,6,4,5,4,3,2,4,5,6,5,6,5,5,4,5,5,5,5,3,5,2,6,4,6,6,6
2,3,4,3,4,3,3,3,5,5,4,4,3,2,4,3,3,4,5,4,5,4,4,4,2,3,2,3,4,4,3,3,3,3,4,3
3,1,5,5,3,5,2,4,4,6,4,5,5,4,5,6,4,3,6,NA,4,6,5,5,6,2,4,5,5,6,3,5,4,4,5,3
3,2,5,5,6,5,5,5,5,4,6,6,5,4,5,4,5,6,6,5,6,6,5,3,6,5,2,6,5,4,4,5,4,3,6,1
4,2,5,5,5,4,3,2,4,2,3,5,3,5,5,4,5,3,6,5,5,5,4,4,5,4,2,3,5,3,3,5,4,3,5,3
1,3,4,3,4,3,3,4,2,6,4,3,3,1,6,2,3,4,4,4,5,4,4,5,2,3,3,2,2,3,1,3,2,2,2,1
4,4,6,4,5,4,3,2,4,3,4,4,5,4,5,3,4,4,5,3,4,4,4,4,4,4,4,5,3,3,3,3,5,3,6,3
1,2,4,2,3,2,5,3,5,4,5,6,6,5,3,2,3,5,6,3,5,5,5,5,4,2,2,2,5,3,3,4,1,5,2,5
2,4,5,4,5,4,5,2,4,5,5,5,5,1,5,3,5,5,6,4,5,5,3,3,5,4,5,4,4,4,3,5,4,2,5,2
2,2,4,2,3,2,2,4,4,5,3,2,2,2,5,2,1,3,5,2,5,5,5,5,2,4,2,3,1,4,3,2,1,2,4,2
1,1,5,3,6,3,6,4,5,6,5,6,2,1,6,6,5,4,6,4,5,6,4,6,6,3,6,6,3,4,3,4,6,1,5,1
5,5,5,4,6,5,6,6,6,6,6,6,6,6,5,4,6,5,6,4,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,5
3,1,4,3,4,3,5,2,4,4,4,4,5,5,6,4,5,4,5,3,4,5,4,5,5,3,5,4,3,4,3,4,5,5,6,5
2,2,4,5,5,5,5,3,5,2,5,3,5,2,5,2,5,6,5,5,5,5,5,5,4,4,4,5,6,5,3,5,5,6,5,4
3,5,6,1,4,4,6,1,4,5,4,5,6,2,2,2,6,6,6,5,5,5,3,3,2,5,5,3,3,5,3,4,2,6,4,6
4,4,4,4,5,4,6,5,6,5,6,6,6,5,3,3,4,6,6,5,6,4,5,5,3,4,4,3,5,4,5,4,2,4,5,4
3,3,6,5,6,5,6,5,6,6,6,6,3,1,2,1,5,6,6,6,6,6,6,5,4,5,5,5,6,6,5,6,2,4,5,4
4,2,5,4,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,3,4,5,5,4,5,4,2,5,2
2,1,5,3,3,4,3,4,4,6,4,4,4,1,3,3,4,4,6,4,4,5,4,6,4,4,2,5,1,4,2,3,4,1,6,2
3,3,5,4,4,4,4,4,5,3,5,5,5,2,5,3,5,5,5,4,5,4,5,3,4,3,3,5,5,2,3,3,4,3,5,3
1,1,5,2,2,1,2,6,1,1,2,1,1,1,3,1,1,1,1,1,3,2,1,1,1,1,1,1,3,2,1,2,1,5,2,6
2,1,4,4,5,4,5,1,5,5,5,5,5,6,5,2,4,5,5,4,5,6,5,4,3,2,3,3,5,5,3,5,3,4,4,4
5,2,5,4,4,4,5,3,6,6,6,5,5,3,5,5,5,6,5,5,6,5,6,5,2,3,4,4,5,6,4,5,5,4,5,3
3,4,6,3,5,4,6,3,6,6,6,6,6,6,4,3,5,6,6,3,5,5,5,5,5,2,4,3,5,5,5,5,3,4,5,4
2,6,5,3,4,2,2,1,4,1,4,2,4,2,2,4,2,2,6,4,4,4,3,2,2,2,5,2,1,4,2,2,3,5,2,6
4,4,6,5,5,5,6,3,2,6,6,5,5,5,6,2,4,5,6,2,6,6,5,5,5,4,5,6,4,2,1,4,4,6,6,6
4,4,4,4,5,4,5,3,6,6,6,6,4,4,5,3,5,5,6,4,5,6,6,6,4,5,3,4,6,6,5,5,4,4,5,4
4,3,5,4,5,5,5,3,4,3,4,4,4,6,5,4,3,5,5,3,5,5,4,2,4,5,4,4,2,3,1,4,3,3,4,3
2,2,5,3,5,4,5,4,5,6,6,5,5,5,5,2,4,5,5,4,4,4,4,5,4,2,4,5,1,4,2,4,5,4,4,4
2,3,4,3,5,3,4,4,3,2,4,4,4,2,4,3,4,3,5,4,5,5,3,4,4,4,2,4,3,4,3,4,3,5,4,4
3,3,6,4,5,5,5,5,5,4,6,4,6,6,3,3,5,6,6,6,6,6,5,4,5,5,6,5,2,4,5,4,4,4,6,4
4,2,3,4,5,4,6,3,5,2,6,5,5,6,4,3,4,6,6,5,6,5,5,3,5,3,5,5,5,3,3,2,3,4,5,4
5,2,4,4,4,3,4,4,5,5,4,4,4,3,3,2,3,4,4,3,5,5,5,4,3,4,2,3,5,5,4,5,3,2,3,2
3,2,6,6,5,5,5,4,6,NA,6,5,4,3,6,2,5,4,5,5,5,5,5,5,3,3,4,5,4,3,5,5,5,4,5,4
2,5,6,5,5,6,5,3,6,6,6,6,5,5,6,6,5,6,6,6,NA,6,6,6,5,4,3,5,5,NA,5,6,NA,3,6,2
3,1,4,2,4,4,4,2,5,5,4,4,5,5,6,4,4,5,5,4,5,5,5,5,4,3,2,4,2,4,3,4,2,4,4,4
1,3,6,1,5,2,4,3,5,5,5,6,4,1,2,4,5,6,4,5,5,4,5,5,3,3,4,4,NA,2,3,NA,2,3,4,3
1,2,6,1,5,1,6,2,1,6,6,5,5,1,1,1,1,1,2,2,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1
4,1,4,5,6,5,5,3,5,4,5,4,6,6,6,5,6,5,5,5,6,5,5,4,5,3,5,5,5,3,5,5,4,3,6,3
6,1,6,5,5,6,6,4,6,6,5,4,6,6,5,3,5,5,6,5,5,6,6,5,5,3,3,3,5,4,6,4,2,6,5,6
4,3,5,5,5,6,6,1,6,6,6,6,6,3,5,5,5,6,6,5,5,6,6,5,5,3,2,6,6,5,6,6,4,5,5,6
3,2,5,2,5,2,4,3,5,5,5,6,3,4,5,1,5,4,6,4,6,6,5,3,5,5,4,5,5,5,4,6,6,6,5,6
1,1,6,1,5,1,3,2,4,1,5,3,6,1,6,3,6,4,5,5,4,6,6,6,6,1,1,3,4,1,2,2,6,4,6,4
3,3,4,4,5,4,4,5,5,5,4,5,4,5,5,4,5,5,5,4,5,4,5,5,3,5,2,3,5,5,5,5,3,5,4,4
3,2,4,2,2,2,2,2,3,4,2,4,4,3,3,2,4,2,5,4,5,5,2,4,4,3,2,4,1,2,2,2,5,4,5,4
3,3,3,3,4,3,4,3,5,5,5,4,2,3,5,1,4,3,4,3,5,5,4,5,3,4,5,4,4,4,5,3,2,2,4,2
4,3,3,1,3,3,5,3,4,5,5,5,3,2,3,2,5,5,5,3,6,5,5,3,4,4,3,2,6,5,5,4,4,5,3,2
4,3,6,4,4,3,6,2,5,6,4,4,6,4,4,1,6,6,6,3,5,4,1,3,5,2,4,3,4,4,3,4,4,6,6,6
2,2,6,2,5,2,5,1,1,1,5,3,6,6,3,4,5,6,6,4,6,5,1,1,5,5,4,4,2,1,1,1,5,2,6,2
1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,3
3,4,5,4,5,5,4,3,5,6,5,4,4,4,5,5,5,4,5,3,5,5,4,4,5,3,3,5,2,4,2,5,4,5,5,5
5,2,4,5,5,5,5,2,NA,NA,NA,NA,5,5,4,5,5,5,5,5,NA,NA,NA,NA,5,3,5,5,NA,NA,NA,NA,4,5,5,5
NA,NA,NA,NA,3,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,2,NA,NA,NA,NA,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,3,3,4,2,3,4,3,4,4,4,3,3,3,3,3,5,3,3,3,3,4,3,5,4,5,3,3,3,4,3,3,2,4
4,3,4,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,2,5,5,5,5,4,5,2,5,5,5,5,5,5,4,5,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,4,1,3,1,3,1,1,5,2,1,4,3,6,1,4,1,5,4,4,4,1,2,3,2,2,2,1,1,1,3,2,2,3,2
3,4,5,4,5,3,5,5,6,5,6,6,3,4,3,3,5,5,6,5,6,6,6,6,5,5,2,5,6,6,6,6,5,2,6,2
4,3,5,4,5,5,5,2,6,5,5,5,5,5,6,3,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,4,5,4
2,1,2,2,4,1,2,2,5,5,5,5,5,2,5,3,3,4,5,5,6,5,5,4,4,3,2,5,1,5,1,4,4,2,5,2
5,2,5,5,5,5,5,4,6,6,5,5,5,5,5,5,4,5,6,5,5,5,6,5,5,3,5,5,6,6,2,6,5,5,5,5
2,2,5,4,4,4,4,3,5,5,5,5,2,4,5,3,3,4,5,5,4,5,4,5,3,3,3,4,5,5,5,5,4,5,5,5
6,5,6,6,6,6,4,4,3,4,5,5,6,3,3,2,4,6,6,4,5,5,2,1,4,6,6,6,2,1,3,2,4,6,6,5
1,1,5,2,3,1,5,2,5,5,6,3,6,4,6,5,4,3,6,4,4,4,5,6,4,2,2,3,5,4,1,3,5,6,4,6
5,2,5,6,5,5,5,3,6,5,6,6,5,2,5,3,5,4,5,4,6,5,5,5,5,5,4,6,6,5,6,5,5,4,6,3
1,1,5,2,4,3,5,2,3,5,5,3,4,3,5,3,5,4,5,5,5,5,4,2,5,2,3,5,2,2,1,4,4,5,4,6
4,4,5,5,5,5,6,5,6,6,6,6,3,4,5,5,5,6,6,5,6,6,5,5,5,5,5,5,5,6,5,6,5,3,6,4
5,4,6,4,5,5,6,3,6,6,6,6,5,3,6,3,5,5,6,5,6,6,6,5,5,3,3,6,6,6,2,5,1,6,6,6
5,3,5,3,5,4,5,3,6,6,5,4,3,6,5,2,3,5,6,5,5,6,5,5,2,5,2,4,4,4,2,3,2,4,3,5
5,1,6,3,6,3,6,1,3,4,5,6,4,5,5,4,6,4,6,3,6,5,3,4,4,3,3,5,5,2,3,2,6,6,6,6
2,4,5,4,4,4,5,4,4,4,5,4,4,3,3,3,6,5,5,4,5,5,4,2,3,4,5,4,5,2,3,3,3,2,5,3
2,2,5,5,6,5,5,2,5,4,6,6,6,6,3,4,6,NA,6,6,6,6,6,3,6,3,5,5,NA,3,4,6,1,5,6,6
1,3,2,3,4,5,5,5,6,5,6,5,4,5,5,3,4,5,6,5,6,5,6,6,6,5,1,5,5,5,5,5,4,4,6,3
5,3,3,3,5,3,4,2,4,5,5,5,5,3,4,3,4,5,5,4,5,5,5,4,3,2,2,3,5,5,4,4,3,5,3,5
4,3,5,4,5,2,2,4,5,2,4,4,5,2,5,2,4,5,5,5,4,4,6,6,2,5,5,2,5,4,5,4,5,2,3,2
2,4,4,2,5,3,5,3,5,5,5,4,4,4,2,2,5,5,6,5,5,5,5,5,5,4,2,5,5,5,5,5,4,4,5,5
2,2,4,4,5,4,5,4,4,5,6,5,4,6,6,4,6,5,6,4,5,5,4,5,6,5,4,5,2,4,3,5,3,2,5,2
1,1,4,1,1,1,1,2,1,5,1,2,1,1,5,1,6,1,5,4,5,2,1,4,1,2,2,4,1,1,1,1,1,1,2,1
4,2,4,4,5,4,4,3,6,4,5,6,4,5,5,3,6,5,6,4,4,4,6,5,5,5,3,5,4,4,3,5,5,2,4,3
3,2,5,3,2,3,4,4,5,6,4,4,3,5,4,2,4,5,5,4,5,5,6,6,4,5,4,4,3,5,4,5,5,2,4,3
4,4,4,4,4,5,3,4,5,5,5,4,3,4,5,3,4,5,4,4,5,5,5,5,3,3,3,4,5,3,4,5,3,5,5,5
4,4,6,4,5,5,5,5,5,5,5,5,4,5,4,2,5,5,6,2,5,5,5,5,3,4,2,3,5,6,5,5,2,3,3,4
1,3,3,4,4,4,3,3,5,3,5,5,1,2,5,1,5,3,5,5,6,5,4,6,4,3,2,4,4,3,3,3,2,2,5,1
1,1,6,1,6,1,6,1,4,6,4,5,6,6,5,6,6,6,6,6,5,6,5,6,6,1,6,6,1,4,1,4,6,3,6,2
6,4,3,4,5,4,4,3,5,5,5,5,2,4,4,2,4,5,6,4,5,5,5,4,2,4,3,4,5,4,4,5,2,2,5,2
4,5,6,3,6,4,6,3,6,5,6,6,5,5,5,3,5,6,5,6,5,6,5,3,5,3,5,5,6,2,3,5,4,2,6,2
2,2,5,4,4,4,5,3,6,5,5,4,5,6,5,3,4,5,5,5,6,5,5,5,4,3,2,4,3,4,3,5,5,3,4,3
2,2,5,4,4,4,4,5,5,5,5,5,2,2,4,2,4,6,6,5,5,5,5,5,4,4,2,5,5,5,3,5,3,2,3,2
2,2,3,4,5,4,3,2,4,5,5,5,4,6,5,3,3,4,5,3,5,3,4,5,4,3,3,3,5,4,4,4,4,2,4,2
4,5,5,4,5,4,5,5,6,6,5,5,2,3,5,3,4,6,5,4,6,5,6,5,4,5,5,5,5,5,5,4,4,4,5,3
5,2,5,5,5,5,5,3,6,5,5,5,5,5,5,3,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,3,4,5,4
1,1,2,2,2,2,4,4,5,5,4,5,2,1,5,1,3,4,6,4,5,4,5,5,2,4,2,4,1,6,NA,4,2,2,4,1
4,2,5,4,4,4,5,4,5,3,5,4,4,4,5,2,5,5,5,3,5,4,4,3,4,4,5,4,4,5,3,5,4,6,4,6
1,2,5,3,4,2,4,3,5,6,5,2,3,1,5,5,5,3,5,5,5,5,3,5,5,3,4,3,1,1,2,2,5,1,6,1
2,3,5,5,6,5,6,5,6,6,6,6,6,6,5,3,5,6,6,6,6,5,6,6,5,5,6,5,5,6,6,6,5,3,6,2
3,4,5,4,6,4,5,6,5,6,5,5,6,3,6,4,6,6,6,3,5,5,5,5,6,6,2,6,5,5,6,4,4,3,6,3
2,1,4,3,5,3,6,5,6,6,6,6,4,6,4,2,6,6,6,3,4,5,6,6,3,4,3,4,4,5,4,6,2,6,3,6
4,5,5,4,5,5,6,5,6,6,6,6,5,2,4,4,5,6,6,5,6,6,6,5,5,6,3,6,6,6,5,6,6,5,5,2
3,4,4,4,5,5,5,5,4,4,4,4,3,3,5,3,5,5,5,4,5,3,4,3,5,5,5,5,4,3,4,3,3,3,5,3
6,1,5,1,1,1,6,1,4,6,6,5,6,6,5,6,6,5,6,6,6,6,4,1,6,2,2,5,3,2,1,6,6,6,6,6
3,2,5,2,3,2,6,2,5,3,5,4,5,5,5,4,6,4,6,5,5,5,5,3,5,2,5,5,3,3,5,5,5,5,5,5
4,1,2,3,5,2,5,1,4,6,5,2,4,6,3,1,2,5,6,5,4,5,4,5,2,2,1,4,1,5,1,6,2,6,6,6
4,3,5,4,4,3,6,3,5,5,5,4,4,3,3,3,5,5,6,5,5,6,4,4,3,4,3,3,5,4,5,5,3,4,4,4
2,5,4,4,5,5,4,4,5,3,6,5,3,3,3,2,5,4,5,5,5,3,5,5,3,5,3,4,5,4,6,3,5,2,5,2
4,2,4,1,4,1,4,1,2,2,4,2,3,4,2,2,6,5,5,4,4,3,4,4,4,1,1,1,3,1,1,3,1,4,4,4
4,3,4,3,4,4,4,5,5,4,4,6,3,2,4,1,2,5,5,3,5,5,5,4,4,4,2,3,4,4,5,3,3,4,5,4
5,3,6,5,6,6,6,5,6,4,5,6,6,5,6,4,6,6,6,5,6,6,6,6,5,5,4,5,6,5,6,6,4,4,5,4
4,4,5,5,5,5,4,3,6,5,5,5,6,4,4,4,5,6,6,3,6,5,6,4,6,1,6,4,5,3,6,5,3,4,6,3
2,2,4,2,4,2,4,3,4,5,4,4,4,1,4,3,2,5,4,5,5,4,5,4,4,4,1,5,4,5,2,2,4,2,4,2
