"","Var1","Freq"
"73","There was a time when seniority was valued. Within my department it is not. The organization as a whole functions well for its size. There are many logistical challenges and data driven goals that have become more important than relationships with kids. I will always enjoy helping young people discover the joys of learning, regardless of what the data miners think is important. ",1
"74","There were two questions back-to-back that seemed redundant. I think it was asking about mentally being drained from work...I think. ",1
"75","Things were markedly differently before WFH",1
"76","This job is incredibly draining, but worthwhile, I would consider draining a negative, it will always be a part of counseling people in challenging situations",1
"77","Trump has an impact on my scores. I AM A FEDERAL employee and politucs has a huge impact on us. Email me if you want to discuss more. Cpingor@gmail.com ",1
"78","Upper management acceptance to the fact that everything can be done it just can’t be done at once. To be a realistic would be very helpful, and still be able to achieve new goals. And there’s also a life outside of work, to maintain your health and well-being.",1
"79","We kill Covid19 ",1
"80","Well done!",1
"81","Whichever career path uou you choose it should be stimulating and make you happy. If your kob conjures negative emotions you should consider a career change. ",1
"82","While I'm dissatisfied in my current role, the overall organization is good to work for.",1
"83","While I like what I do and the relationships I’ve built at my job, the organization often does not do right by its employees. It will be a stain on my resume when I finally leave. ",1
"84","Work isn't always the biggest factor in work decisions, work needs to fit into life.",1
"85","Worst team",1
