"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"C1.1 - I love starting my workday.*",21,56,3.30357142857143,1.33375263969602,3,3.32608695652174,1.4826,1,6,5,-0.0125711653041481,-0.819236437444516,0.178230193444566
"C1.2 - I enjoy spending time completing my job tasks.*",22,56,3.57142857142857,0.911684611677104,4,3.60869565217391,0,1,5,4,-0.63194223959346,-0.0594631895727034,0.121828980774635
"C1.2 - Most days I feel enthusiastic about starting my work day.*",23,56,3.71428571428571,1.42336714377353,4,3.80434782608696,1.4826,1,6,5,-0.428415111581069,-0.93791510687115,0.190205435271127
"C1.2 - I feel motivated to go beyond what is asked of me.*",24,56,4.625,1.30122320075451,5,4.80434782608696,1.4826,1,6,5,-1.04783311910675,0.559117651553664,0.173883264319455
"C1.2 - This job drains my energy.*",25,55,3.69090909090909,1.43852711804827,4,3.66666666666667,1.4826,1,6,5,0.0625597861641376,-1.04220873163522,0.193970957027558
"C1.3 - I am proud to be a member of this organization.*",26,56,4.66071428571429,1.32496018072978,5,4.84782608695652,1.4826,1,6,5,-1.17104401188277,0.943351871128938,0.177055251693175
"C1.3 - I feel supported by my supervisor when I fail at a task.*",27,55,4.34545454545455,1.41706767942848,5,4.46666666666667,1.4826,1,6,5,-0.649471129699142,-0.524452676783717,0.191077366914357
"C1.3 - I feel proud of my accomplishments within this organization.*",28,56,4.08928571428571,0.939570225045583,4,4.21739130434783,1.4826,1,5,4,-1.07742578556865,0.953696308744264,0.125555352604809
"C1.3 - My job makes me feel like I’m part of something meaningful.*",29,56,4.57142857142857,1.4123757272076,5,4.76086956521739,1.4826,1,6,5,-1.05549289916485,0.337494207888233,0.188736645450233
"C1.4 - I devote more time than is expected of me.*",30,56,3.46428571428571,1.36134005790131,4,3.56521739130435,1.4826,1,5,4,-0.5632446845291,-0.902850257336077,0.181916717269918
"C1.4 - I have to be reminded to take breaks while I’m at work.*",31,55,3.67272727272727,1.3885049974509,4,3.62222222222222,1.4826,1,6,5,0.096066347039161,-1.17554612619793,0.187225975662184
"C1.4 - I never miss a work deadline.*",32,55,3.61818181818182,1.17836844346418,4,3.75555555555556,1.4826,1,5,4,-0.911746064278863,-0.0679166915626861,0.158891168502915
"C1.4 - I never allow distractions to interfere with my work.*",33,56,3.08928571428571,1.37875814629471,3,3,1.4826,1,6,5,0.578808910611483,-0.63966589049218,0.184244307237798
"C1.5 - When work is slow I find ways to be productive.*",34,57,4.49122807017544,1.15144020094005,5,4.5531914893617,1.4826,1,6,5,-0.668510875553333,-0.0508411809089484,0.152511980337057
"C1.5 - I express enthusiasm for my job while at work.*",35,58,4.72413793103448,0.969592127093635,5,4.8125,0.7413,1,6,5,-1.25661716280191,2.77223940102867,0.127313683537536
"C1.5 - I try my best to perform well at work.*",36,58,2.41379310344828,0.593369290018929,2,2.45833333333333,1.4826,1,3,2,-0.414500180062112,-0.775379538324995,0.0779132048408918
"C1.5 - If I notice my energy level is low, I take corrective steps to re-energize.*",37,58,4.13793103448276,1.17649905662862,4,4.22916666666667,1.4826,1,6,5,-0.707241171050256,0.0221922969240964,0.154481894388733
"C1.6 - I make valued contributions to the organization.*",38,56,3.19642857142857,0.74880857748445,3,3.26086956521739,1.4826,1,4,3,-0.578310467555406,-0.24754009300787,0.100063755186585
"C1.6 - I embrace challenging situations at work.*",39,56,3.07142857142857,0.891518476984743,3,3.15217391304348,1.4826,1,4,3,-0.589399095631557,-0.587561372588251,0.119134167673408
"C1.6 - I speak positively about this organization to others.*",40,56,4.80357142857143,1.16649658624202,5,5,0.7413,1,6,5,-1.58036370930643,2.64411996702395,0.155879663162823
"C1.6 - This organization provides the resources necessary for me to successfully perform my job.*",41,56,3.82142857142857,1.02880588958343,4,3.95652173913043,1.4826,1,5,4,-1.02484033777442,0.891913952292873,0.137479969868442
"C1.7 - I devote my full attention to my work tasks throughout the day.*",42,57,4.01754385964912,1.26054449785705,4,4.1063829787234,1.4826,1,6,5,-0.610353091574647,-0.264188101715392,0.166963197493198
"C1.7 - Thinking about work saps my energy.*",43,57,3.57894736842105,1.49937330266744,4,3.57446808510638,1.4826,1,6,5,0.0378890732081163,-1.04029318636482,0.198596845470251
"C1.7 - I would rather direct my focus toward a work task than a personal task.*",44,56,3.125,1.32201636628571,3,3.10869565217391,1.4826,1,6,5,0.284751030730614,-0.839565686641251,0.176661867941035
"C1.7 - I’m able to maintain good levels of energy throughout the workday.*",45,57,3.85964912280702,1.20176353288508,4,3.91489361702128,1.4826,1,6,5,-0.341540016732654,-0.935514899851752,0.159177468484709
"C1.8 - I plan my future with this company.*",46,57,3.92982456140351,1.66754362893028,4,4.02127659574468,1.4826,1,6,5,-0.526652697272426,-1.0026271348434,0.220871549333582
"C1.8 - I believe this company cares about my career goals.*",47,57,3.96491228070175,1.70047170221238,4,4.06382978723404,2.9652,1,6,5,-0.310240117377802,-1.2026794500485,0.225232979185377
"C1.8 - I often think about finding another job.*",48,57,3.42105263157895,1.70028745911067,4,3.40425531914894,2.9652,1,6,5,0.00444901020009725,-1.32092046435607,0.225208575590399
"C1.8 - This organization challenges me to work at my full potential.*",49,57,4.2280701754386,1.46406410695474,5,4.36170212765957,1.4826,1,6,5,-0.725667856462561,-0.388949028004266,0.193920028247909
"C1.9 - I’m able to concentrate on my work without distractions.*",50,56,3.82142857142857,1.42837661009264,4,3.80434782608696,1.4826,1,6,5,-0.0953827675625034,-1.26109343172337,0.190874853366009
"C1.9 - I have a hard time detaching mentally from my work.*",51,57,3.47368421052632,1.61582865912172,3,3.46808510638298,1.4826,1,6,5,0.146251030889161,-1.33060545071617,0.214021734247974
"C1.9 - Time passes quickly while I’m working.*",52,57,4.40350877192982,1.26575286917097,5,4.53191489361702,1.4826,1,6,5,-1.03254645014897,0.434377089719869,0.167653063126486
"C1.9 - I find it difficult to mentally disconnect from work.*",53,57,3.45614035087719,1.54769616156444,3,3.38297872340426,1.4826,1,6,5,0.364524824958817,-1.22802829420327,0.204997364489747
"C2.1 - I’m able to concentrate on my work without distractions.*",54,59,3.64406779661017,1.37417952780367,4,3.69387755102041,1.4826,1,6,5,-0.296459336221451,-0.755702090542596,0.178902936216903
"C2.1 - I have a hard time detaching mentally from my work.*",55,60,3.85,1.33816215986767,4,3.875,1.4826,1,6,5,-0.231302042162384,-0.625916385409114,0.172755991989747
"C2.1 - Time passes quickly while I’m working.*",56,60,4.61666666666667,1.20860848221284,5,4.79166666666667,1.4826,1,6,5,-1.06213768054373,0.664956436092058,0.156030684123179
"C2.1 - I find it difficult to mentally disconnect from work.*",57,60,3.71666666666667,1.45079366551106,4,3.72916666666667,1.4826,1,6,5,-0.0659293445764326,-0.851454112573341,0.187296656843584
"C2.2 - I devote more time than is expected of me.*",58,60,4.48333333333333,1.28210191121239,5,4.60416666666667,1.4826,1,6,5,-0.604195690758133,-0.412470357675463,0.165518645008876
"C2.2 - I have to be reminded to take breaks while I’m at work.*",59,60,3.5,1.70244091960507,3.5,3.5,2.2239,1,6,5,0,-1.36164076125987,0.219784177651083
"C2.2 - I never miss a work deadline.*",60,60,4.33333333333333,1.34878057501879,5,4.45833333333333,1.4826,1,6,5,-0.649053929280434,-0.516704923935548,0.174126823491195
"C2.2 - I never allow distractions to interfere with my work.*",61,60,3.2,1.39975784830745,3,3.16666666666667,1.4826,1,6,5,0.30482286718947,-0.803075733448275,0.18070796117393
"C2.3 - I enjoy thinking about work even when I’m not at work.*",62,60,2.86666666666667,1.25504631107296,3,2.83333333333333,1.4826,1,6,5,0.145984223820988,-0.76102568773599,0.162025782050155
"C2.3 - Most days, I feel happiest when the workday is soon to be complete.*",63,60,4.46666666666667,1.19981166130309,5,4.5625,1.4826,1,6,5,-0.646566388643213,-0.0946127681841973,0.154895019427077
"C2.3 - I am happiest when I am immersed in a project.*",64,60,3.65,1.07079884641866,4,3.72916666666667,1.4826,1,5,4,-0.426172628437549,-0.509930633739919,0.138239536643919
"C2.3 - I love starting my workday.*",65,60,3.48333333333333,1.28210191121239,4,3.58333333333333,1.4826,1,6,5,-0.414397377476879,-0.698674911672344,0.165518645008876
"C2.4 - I devote my full attention to my work tasks throughout the day.*",66,60,3.95,1.34574029781104,4,4.02083333333333,1.4826,1,6,5,-0.526330152945031,-0.65226357500602,0.173734325391412
"C2.4 - Thinking about work saps my energy.*",67,60,3.45,1.21327404089311,3,3.39583333333333,1.4826,1,6,5,0.226626212517392,-0.820957794376118,0.156633005158826
"C2.4 - I would rather direct my focus toward a work task than a personal task.*",68,60,3.43333333333333,1.33234426592298,4,3.45833333333333,1.4826,1,6,5,-0.0918605249597098,-1.06164670717923,0.172004905111155
"C2.4 - I’m able to maintain good levels of energy throughout the workday.*",69,60,4.05,1.25448348476946,4,4.125,1.4826,1,6,5,-0.497539073194519,-0.527587853988851,0.161953121486812
"C2.5 - I enjoy spending time completing my job tasks.*",70,60,3.45,0.981610575551169,4,3.52083333333333,0.7413,1,5,4,-0.761492413360402,0.0742008761812838,0.126725380385692
"C2.5 - Most days I feel enthusiastic about starting my work day.*",71,60,3.66666666666667,1.31053963095123,4,3.70833333333333,1.4826,1,6,5,-0.269854464838686,-0.880623845798707,0.169189938840631
"C2.5 - I feel motivated to go beyond what is asked of me.*",72,59,3.4406779661017,1.34255528930877,4,3.53061224489796,1.4826,1,5,4,-0.569135782936385,-0.917392011664892,0.174785811046654
"C2.5 - This job drains my energy.*",73,60,3.75,1.33562655899198,4,3.75,1.4826,1,6,5,-0.175751759171987,-0.694681934954855,0.172428647324275
"C2.6 - When work is slow I find ways to be productive.*",74,60,4.31666666666667,1.26881322725203,5,4.45833333333333,1.4826,1,6,5,-1.08633156204281,0.831997892987037,0.163803083286494
"C2.6 - I express enthusiasm for my job while at work.*",75,60,4.53333333333333,1.28177137318141,5,4.6875,1.4826,1,6,5,-0.903787327494822,0.305429355185176,0.165475972732566
"C2.6 - I try my best to perform well at work.*",76,60,5.23333333333333,0.997737553662636,5,5.41666666666667,1.4826,1,6,5,-1.97798751335687,5.01652047599231,0.128807364307371
"C2.6 - If I notice my energy level is low, I take corrective steps to re-energize.*",77,59,3.84745762711864,1.20076928390661,4,3.89795918367347,1.4826,1,6,5,-0.357525044848907,-0.529613815398491,0.156326845411025
"C2.7 - I plan my future with this company.*",78,57,3.68421052631579,1.67073438447248,4,3.72340425531915,1.4826,1,6,5,-0.271291764903964,-1.32297124849761,0.221294175229495
"C2.7 - I believe this company cares about my career goals.*",79,57,3.82456140350877,1.33794628091959,4,3.85106382978723,1.4826,1,6,5,-0.255873112673842,-0.640786328889187,0.177215314109284
"C2.7 - I often think about finding another job.*",80,58,3.67241379310345,1.49135439484868,4,3.6875,1.4826,1,6,5,-0.0954908852063027,-1.02508007992237,0.195824425717251
"C2.7 - This organization challenges me to work at my full potential.*",81,57,4.08771929824561,1.31313014470857,4,4.14893617021277,1.4826,1,6,5,-0.530360632271867,-0.471275400543429,0.173928336570401
"C2.8 - I am proud to be a member of this organization.*",82,58,4.56896551724138,1.24410284684463,5,4.75,1.4826,1,6,5,-1.30968010401364,1.56613813993962,0.163358706929795
"C2.8 - I feel supported by my supervisor when I fail at a task.*",83,56,4.57142857142857,1.57083814173595,5,4.78260869565217,1.4826,1,6,5,-0.972545863826732,-0.241211628695801,0.209912076301878
"C2.8 - I feel proud of my accomplishments within this organization.*",84,58,3.86206896551724,1.05045146287778,4,3.97916666666667,1.4826,1,5,4,-0.711325716157372,-0.020490394619499,0.137931034482759
"C2.8 - My job makes me feel like I’m part of something meaningful.*",85,58,4.56896551724138,1.12565098460444,5,4.66666666666667,1.4826,1,6,5,-0.712742372479941,0.552705362961889,0.147805215433444
"C2.9 - I make valued contributions to the organization.*",86,57,3.03508771929825,0.7550996216371,3,3.08510638297872,0,1,4,3,-0.54454338830669,0.110493643014419,0.100015388166591
"C2.9 - I embrace challenging situations at work.*",87,58,4,0.858395075278952,4,4.0625,1.4826,1,5,4,-0.81777081854953,1.0012315270936,0.112712795319232
"C2.9 - I speak positively about this organization to others.*",88,58,4.43103448275862,1.3651305311988,5,4.60416666666667,1.4826,1,6,5,-1.07759690348225,0.548271592122263,0.179250420439613
"C2.9 - This organization provides the resources necessary for me to successfully perform my job.*",89,58,4.41379310344828,1.24300827450099,5,4.52083333333333,1.4826,1,6,5,-0.802905042532015,0.191210082542479,0.163214982539843
"C3.1 - I’m able to concentrate on my work without distractions.*",90,58,3.51724137931034,1.37956742915707,3.5,3.52083333333333,2.2239,1,6,5,-0.0155069525407451,-0.950402321783642,0.181146078012073
"C3.1 - I have a hard time detaching mentally from my work.*",91,58,3.70689655172414,1.51029938579235,4,3.6875,1.4826,1,6,5,0.0439716274621002,-1.27070490267789,0.198312024898623
"C3.1 - Time passes quickly while I’m working.*",92,58,4.67241379310345,1.17559885499969,5,4.77083333333333,1.4826,1,6,5,-0.695542247222598,0.102754365382153,0.154363692123984
"C3.1 - I find it difficult to mentally disconnect from work.*",93,58,3.58620689655172,1.60081648858545,3,3.58333333333333,1.4826,1,6,5,0.148935001533151,-1.29111492377169,0.210197502779182
"C3.1 - I enjoy thinking about work even when I’m not at work.*",94,58,3.17241379310345,1.56875110718611,3.5,3.125,2.2239,1,6,5,0.0676417942656082,-1.22791836755852,0.205987111929348
"C3.1 - Most days, I feel happiest when the workday is soon to be complete.*",95,58,3.31034482758621,1.27330067770734,4,3.375,1.4826,1,5,4,-0.332184391389656,-1.04909449979326,0.167192569947618
"C3.1 - I am happiest when I am immersed in a project.*",96,58,3.44827586206897,1.11090943924973,4,3.54166666666667,1.4826,1,5,4,-0.777517145938943,-0.173282619965522,0.145869555698077
"C3.1 - I love starting my workday.*",97,58,3.43103448275862,1.28571188507444,4,3.47916666666667,1.4826,1,6,5,-0.28787375078896,-0.582530335914496,0.168822241314474
"C3.1 - I devote more time than is expected of me.*",98,58,4.22413793103448,1.32510315319456,4,4.3125,1.4826,1,6,5,-0.451662488004626,-0.476116275663808,0.173994568217148
"C3.1 - I have to be reminded to take breaks while I’m at work.*",99,58,3.96551724137931,1.61098768049761,4,4.04166666666667,1.4826,1,6,5,-0.242042762165126,-1.23157721808886,0.211533045707099
"C3.1 - I never miss a work deadline.*",100,57,3.42105263157895,1.11719304542764,4,3.51063829787234,0,1,5,4,-0.786898541791513,-0.283670073947964,0.147975833775694
"C3.1 - I never allow distractions to interfere with my work.*",101,58,3.05172413793103,1.27626667445304,3,3,1.4826,1,6,5,0.502473264578898,-0.303331431724466,0.167582024400169
"C3.2 - I devote my full attention to my work tasks throughout the day.*",102,58,4.20689655172414,1.25318710452002,4,4.27083333333333,1.4826,1,6,5,-0.491249425201568,-0.51620362465249,0.164551528400328
"C3.2 - Thinking about work saps my energy.*",103,58,3.27586206896552,1.38656591378587,3,3.20833333333333,1.4826,1,6,5,0.362776161745997,-0.97682382498351,0.182065024064104
"C3.2 - I would rather direct my focus toward a work task than a personal task.*",104,58,3.3448275862069,1.5395570579437,3,3.3125,1.4826,1,6,5,0.273376228762741,-1.19243612061995,0.202153745462596
"C3.2 - I’m able to maintain good levels of energy throughout the workday.*",105,58,4.29310344827586,1.15483150878044,5,4.375,1.4826,1,6,5,-0.708666442605384,-0.0181070873718268,0.151636805971971
"C3.2 - I enjoy spending time completing my job tasks.*",106,58,4.44827586206897,1.17237820664116,5,4.58333333333333,1.4826,1,6,5,-1.09762182656038,1.13557440527139,0.153940800276529
"C3.2 - Most days I feel enthusiastic about starting my work day.*",107,58,3.63793103448276,1.38536556530985,4,3.72916666666667,1.4826,1,6,5,-0.515000075716125,-0.814402760435691,0.181907410587529
"C3.2 - I feel motivated to go beyond what is asked of me.*",108,58,4.58620689655172,1.21445219415234,5,4.70833333333333,1.4826,1,6,5,-0.804023427287961,0.136103457723781,0.159465385492807
"C3.2 - This job drains my energy.*",109,58,3.68965517241379,1.36634865643352,4,3.64583333333333,1.4826,1,6,5,0.113610362328699,-1.0468332961236,0.17941036811896
"C3.2 - When work is slow I find ways to be productive.*",110,58,3.6551724137931,1.14786948548904,4,3.77083333333333,1.4826,1,5,4,-0.683170357647234,-0.209944942564198,0.150722647528091
"C3.2 - I express enthusiasm for my job while at work.*",111,57,4.78947368421053,1.12974147019293,5,4.93617021276596,1.4826,1,6,5,-1.19635520976648,1.35186875849305,0.149637913238877
"C3.2 - I try my best to perform well at work.*",112,58,3.44827586206897,0.679845539554944,4,3.54166666666667,0,1,4,3,-1.13330047705228,1.27189120256465,0.0892680926945531
"C3.2 - If I notice my energy level is low, I take corrective steps to re-energize.*",113,58,3.3448275862069,1.01828414567394,4,3.375,1.4826,1,5,4,-0.514690351013213,-0.394330301411021,0.133707258806056
"C3.3 - I plan my future with this company.*",114,57,3.92982456140351,1.56820699620853,4,4.02127659574468,1.4826,1,6,5,-0.677739306558067,-0.748696545384549,0.207714090905398
"C3.3 - I believe this company cares about my career goals.*",115,58,3.74137931034483,1.56227841744022,4,3.79166666666667,1.4826,1,6,5,-0.443384908863215,-0.958180906405282,0.205137206127808
"C3.3 - I often think about finding another job.*",116,57,3.59649122807018,1.61311200039382,4,3.61702127659574,1.4826,1,6,5,0.0298500266797725,-1.16904370091582,0.213661904009153
"C3.3 - This organization challenges me to work at my full potential.*",117,58,4.25862068965517,1.26436094152011,5,4.33333333333333,1.4826,1,6,5,-0.586027214819445,-0.508853330682209,0.166018725078166
"C3.3 - I am proud to be a member of this organization.*",118,58,4.63793103448276,1.32052987586614,5,4.8125,1.4826,1,6,5,-0.990438315626113,0.357975572623744,0.173394067484675
"C3.3 - I feel supported by my supervisor when I fail at a task.*",119,58,4.58620689655172,1.31168142739354,5,4.75,1.4826,1,6,5,-0.96377030172889,0.289378837908674,0.172232209279395
"C3.3 - I feel proud of my accomplishments within this organization.*",120,58,3.93103448275862,0.813527492618546,4,3.97916666666667,0,1,5,4,-0.838220484864024,1.47556665052913,0.106821393089056
"C3.3 - My job makes me feel like I’m part of something meaningful.*",121,58,4.46551724137931,1.34053559918414,5,4.60416666666667,1.4826,1,6,5,-0.872459582949645,0.0222928058324756,0.17602094765034
"C3.3 - I make valued contributions to the organization.*",122,58,2.08620689655172,0.656532164298613,2,2.10416666666667,0,1,3,2,-0.084760566314966,-0.7374435196195,0.0862068965517241
"C3.3 - I embrace challenging situations at work.*",123,58,3.79310344827586,0.968967993055936,4,3.89583333333333,0,1,5,4,-0.952668059835124,0.765915697619314,0.127231730723419
"C3.3 - I speak positively about this organization to others.*",124,58,4.63793103448276,1.20958563097826,5,4.77083333333333,1.4826,1,6,5,-0.873506815091426,0.306695771060257,0.158826374442133
"C3.3 - This organization provides the resources necessary for me to successfully perform my job.*",125,58,4.37931034482759,1.26806367385228,5,4.5,1.4826,1,6,5,-0.874846738874524,0.178424382892105,0.166504917652537
"C4.1 - I’m able to concentrate on my work without distractions.*",126,64,3.90625,1.42225787405711,4,3.96153846153846,1.4826,1,6,5,-0.359023085213338,-0.890268134683186,0.177782234257139
"C4.1 - I have a hard time detaching mentally from my work.*",127,64,4.046875,1.48462691053748,4,4.11538461538461,1.4826,1,6,5,-0.308144591103725,-0.976109024747223,0.185578363817185
"C4.1 - Time passes quickly while I’m working.*",128,64,4.578125,1.19263197665752,5,4.73076923076923,1.4826,1,6,5,-1.31515310036969,1.74460351285181,0.14907899708219
"C4.1 - I find it difficult to mentally disconnect from work.*",129,65,4,1.62018517460197,4,4.09433962264151,1.4826,1,6,5,-0.368971526942321,-1.15133437990581,0.200959238117125
"C4.1 - I devote my full attention to my work tasks throughout the day.*",130,64,4.328125,1.26057038613982,5,4.42307692307692,1.4826,1,6,5,-0.622522564773579,-0.460849057860122,0.157571298267478
"C4.1 - Thinking about work saps my energy.*",131,63,3.50793650793651,1.46873893542041,4,3.50980392156863,1.4826,1,6,5,-0.0303570529812746,-1.1612034154858,0.185043712571436
"C4.1 - I would rather direct my focus toward a work task than a personal task.*",132,63,3.57142857142857,1.34060994440645,4,3.56862745098039,1.4826,1,6,5,-0.0314609562045084,-0.985736916725928,0.168900977049505
"C4.1 - I’m able to maintain good levels of energy throughout the workday.*",133,64,4.328125,1.22221094872146,5,4.42307692307692,1.4826,1,6,5,-0.837845178909942,-0.143394869162888,0.152776368590182
"C4.1 - I plan my future with this company.*",134,62,4.06451612903226,1.5135558798323,4,4.18,1.4826,1,6,5,-0.609669700998772,-0.706248079680344,0.192221788960587
"C4.1 - I believe this company cares about my career goals.*",135,64,4.03125,1.56315462477401,4.5,4.15384615384615,0.7413,1,6,5,-0.590857052665829,-0.856236621545346,0.195394328096751
"C4.1 - I often think about finding another job.*",136,64,3.4375,1.56220235260231,3,3.42307692307692,1.4826,1,6,5,0.126408226392428,-1.12920914703859,0.195275294075289
"C4.1 - This organization challenges me to work at my full potential.*",137,64,3.46875,1.208025412326,4,3.57692307692308,1.4826,1,5,4,-0.566173171952007,-0.582647246601031,0.15100317654075
"C4.2 - I enjoy thinking about work even when I’m not at work.*",138,63,3.36507936507937,1.49517058366086,4,3.35294117647059,1.4826,1,6,5,0.0861012277879295,-1.18147244433127,0.188373787237425
"C4.2 - Most days, I feel happiest when the workday is soon to be complete.*",139,63,4.42857142857143,1.20099804885939,5,4.52941176470588,1.4826,1,6,5,-0.686655870707177,-0.0948232988411881,0.151311531540749
"C4.2 - I am happiest when I am immersed in a project.*",140,61,3.72131147540984,1.00218340871292,4,3.79591836734694,1.4826,1,5,4,-0.314271798133153,-0.61046548534518,0.128316436772117
"C4.2 - I love starting my workday.*",141,63,3.9047619047619,1.27904053902166,4,3.94117647058824,1.4826,1,6,5,-0.325935232164058,-0.318589243186969,0.161143961096254
"C4.2 - I enjoy spending time completing my job tasks.*",142,63,4.63492063492064,1.00485253775459,5,4.72549019607843,1.4826,1,6,5,-1.02264529761086,1.61387853191373,0.126599519961467
"C4.2 - Most days I feel enthusiastic about starting my work day.*",143,62,4.14516129032258,1.36522110373505,4,4.24,1.4826,1,6,5,-0.600282267158962,-0.439000094475783,0.173383253557692
"C4.2 - I feel motivated to go beyond what is asked of me.*",144,63,3.85714285714286,0.895457044180429,4,3.90196078431373,1.4826,1,5,4,-0.5197345379204,0.146492630610177,0.112816983268685
"C4.2 - This job drains my energy.*",145,63,3.85714285714286,1.40111871037146,4,3.86274509803922,1.4826,1,6,5,-0.199975254672928,-1.10429519512185,0.176524364996306
"C4.2 - I am proud to be a member of this organization.*",146,63,3.88888888888889,0.917765714553576,4,3.98039215686275,0,1,5,4,-1.01653729268025,1.36548453776159,0.11562761154906
"C4.2 - I feel supported by my supervisor when I fail at a task.*",147,62,4.25806451612903,1.30491484391427,4.5,4.36,0.7413,1,6,5,-0.605973381986223,-0.349996367334173,0.165724350901546
"C4.2 - I feel proud of my accomplishments within this organization.*",148,63,3.19047619047619,0.737413589407815,3,3.27450980392157,0,1,4,3,-0.779843152503978,0.628141147614208,0.0929053795701225
"C4.2 - My job makes me feel like I’m part of something meaningful.*",149,62,4.79032258064516,1.13277689806653,5,4.94,1.4826,1,6,5,-1.05626570944951,1.03964796713528,0.143862809917331
"C4.3 - I devote more time than is expected of me.*",150,63,4.84126984126984,1.11016344635561,5,4.98039215686275,1.4826,1,6,5,-1.083089632601,1.33808121960427,0.139867447318635
"C4.3 - I have to be reminded to take breaks while I’m at work.*",151,63,3.95238095238095,1.48572314779349,4,3.98039215686275,1.4826,1,6,5,-0.0941002269605028,-1.16451325686255,0.187183522197792
"C4.3 - I never miss a work deadline.*",152,64,3.75,1.18187368057056,4,3.88461538461538,1.4826,1,5,4,-0.766640680875815,-0.295225033090133,0.14773421007132
"C4.3 - I never allow distractions to interfere with my work.*",153,64,3.390625,1.2924344876093,3,3.34615384615385,1.4826,1,6,5,0.302993102389707,-0.716595667841041,0.161554310951162
"C4.3 - When work is slow I find ways to be productive.*",154,64,4.75,1.09833929473055,5,4.88461538461539,1.4826,1,6,5,-1.06133618494281,1.22223762660145,0.137292411841319
"C4.3 - I express enthusiasm for my job while at work.*",155,64,3.984375,0.983872935078993,4,4.11538461538461,1.4826,1,5,4,-1.24917190133593,1.7382115724568,0.122984116884874
"C4.3 - I try my best to perform well at work.*",156,64,2.453125,0.688446318410763,3,2.55769230769231,0,1,3,2,-0.840135105970573,-0.543499750700021,0.0860557898013453
"C4.3 - If I notice my energy level is low, I take corrective steps to re-energize.*",157,64,3.484375,1.14076258954889,4,3.53846153846154,1.4826,1,5,4,-0.49896983406521,-0.804849078342258,0.142595323693611
"C4.3 - I make valued contributions to the organization.*",158,63,2.26984126984127,0.676955928578125,2,2.33333333333333,1.4826,1,3,2,-0.370367431386385,-0.878720846209823,0.0852884302651677
"C4.3 - I embrace challenging situations at work.*",159,64,3.0625,0.794325110362489,3,3.11538461538462,1.4826,1,4,3,-0.482259033370916,-0.372895558222455,0.0992906387953112
"C4.3 - I speak positively about this organization to others.*",160,64,4.953125,1.20092143855762,5,5.15384615384615,1.4826,1,6,5,-1.31908277127955,1.25475306075102,0.150115179819702
"C4.3 - This organization provides the resources necessary for me to successfully perform my job.*",161,64,4.359375,1.31375129317442,5,4.48076923076923,1.4826,1,6,5,-0.669800569331551,-0.338560365902508,0.164218911646802
